PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
"3809","Hayat 2","1142","DUBAI SOUTH PROPERTIES DWC LLC","2026-01-10 00:00:00","2028-05-31 00:00:00","2025-06-17 11:55:53","Normal","314131975","0205928147605","ACTIVE","0","2025-06-03 10:56:10","","Hayat 2 is a phase of townhouse communities featuring a mix of 3, 4, and 5-bedroom units. comprises 142 townhouses","Madinat Al Mataar","Dubai South","0","0","142","0",""
"3810","Hayat 3 ","1142","DUBAI SOUTH PROPERTIES DWC LLC","2026-01-30 00:00:00","2028-05-30 00:00:00","2025-06-17 12:03:27","Normal","313074954","0205928147603","ACTIVE","0","2025-06-03 11:09:14","","Hayat 3 is a phase of townhouse communities featuring a mix of 3, 4, and 5-bedroom units. comprises 144 townhouses","Madinat Al Mataar","Dubai South","0","0","144","0",""
"3832","Pinewood Estate Homes","2249","JGE REAL ESTATE L.L.C","2026-03-18 00:00:00","2028-11-17 00:00:00","2025-06-18 11:59:09","Normal","720951905","0205915786603","ACTIVE","0.32","2026-01-23 10:22:47","","Total of 247 (G+1 villas & G+1 + Roof villas)","Me'Aisem First","Trakhees","0","0","247","0",""
"3883","Elevia Residences II","2260","VALORES WBAY PROPERTY DEVELOPMENT L.L.C","2026-01-20 00:00:00","2028-01-19 00:00:00","","Normal","32000000","","PENDING","0","2026-02-02 18:21:42","","Residential Building (B+G+5+R)","Warsan Fourth","","1","0","0","0",""
"3890","Eywa The Way Of Water","1807","REVOLUTION PALM REAL ESTATE L.L.C","2026-02-15 00:00:00","2028-10-15 00:00:00","2026-03-11 14:09:02","Normal","261283787","3004049510000002","ACTIVE","0","2025-10-16 10:50:03","","G+27+R - Residential and Amenities","Business Bay","","0","0","0","65",""
"4028","Fiori","1162","NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C","2026-03-16 00:00:00","2028-06-30 00:00:00","2025-09-18 10:10:37","Normal","124901695","4031224702173101","ACTIVE","0","2025-08-13 09:58:55","","G+2P+10+parking in Ground floor & podium floors","Al Yelayiss 2","Dubai Development Authority (DDA)","0","0","0","146",""
"4031","SERA 1","1275","MINA RASHID PROPERTIES L.L.C","2026-02-26 00:00:00","2029-11-30 00:00:00","2025-08-25 13:17:40","Normal","243902724","9009224036986014","ACTIVE","0","2025-08-07 11:09:39","","Residential Development Consisting of two Buildings: Total 203 units 
Tower A (G+P+7): Total of 96 units
Tower B (G+P+8): Total of 107 units
","Madinat Dubai Almelaheyah","Trakhees","0","0","0","203",""
"4032","SERA 2","1275","MINA RASHID PROPERTIES L.L.C","2026-02-26 00:00:00","2029-11-30 00:00:00","2025-08-14 16:35:29","Normal","223485648","12750345830005","ACTIVE","0","2025-08-07 11:12:22","","Residential Development Consisting of two Buildings: Total 183 units 
Tower A (G+P+6): Total of 83 units
Tower B (G+P+7): Total of 100 units
","Madinat Dubai Almelaheyah","Trakhees","0","0","0","183",""
"4040","Astra Residences","1157","DUGASTA PROPERTIES DEVELOPMENT L.L.C","2026-01-01 00:00:00","2027-08-31 00:00:00","2025-12-23 12:11:05","Normal","32000000","012008923815","ACTIVE","10.38","2026-02-20 13:51:01","","G+4+R","Madinat Al Mataar","Dubai South","0","0","0","108",""
"4044","Rise by Athlon 1","1657","AURORA SPV 3 L.L.C","2026-01-15 00:00:00","2029-12-30 00:00:00","2025-09-09 13:07:52","Normal","717786000","4031225788876008","ACTIVE","0","2025-08-14 17:01:40","","Rise by Athlon 1 , Azul, Teal, Magenta is a residential which consists of:
Azul Tower ? G+2P+27
 Teal Tower ? G+2P+24
 Magenta Tower ? G+2P+21
 Total residential units: 650","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","650",""
"4045","Rise by Athlon 2","1657","AURORA SPV 3 L.L.C","2026-01-15 00:00:00","2030-01-30 00:00:00","2025-09-09 13:09:21","Normal","448872000","4031225788876010","ACTIVE","0","2025-08-14 17:14:54","","Rise by Athlon 4 , Cyan & Neon is a residential which consists of: 
Neon Tower ? G+2P+21
Cyan Tower ? G+2P+24
 Total residential units: 407","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","407",""
"4046","Rise by Athlon 3","1657","AURORA SPV 3 L.L.C","2026-01-15 00:00:00","2030-01-30 00:00:00","2025-09-09 13:10:20","Normal","178464000","4031225788876012","ACTIVE","0","2025-08-14 17:15:39","","Rise by Athlon 3 , Grid & Tempo is a residential which consists of:
Grid Building  G+1P+4
 Tempo Building  G+1P+4
 Total residential units: 120","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","120",""
"4047","Rise by Athlon 4","1657","AURORA SPV 3 L.L.C","2026-01-15 00:00:00","2029-12-30 00:00:00","2025-09-09 13:11:27","Normal","99915000","4031225788876014","ACTIVE","0","2025-08-14 17:16:25","","Rise by Athlon 4 , Foundry is a residential which consists of:
Foundry Building  G+1P+4
Total residential units: 66","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","66",""
"4052","ALDER AT PARK FIVE","15","DEYAAR DEVELOPMENT (P.J.S.C)","2026-03-01 00:00:00","2027-12-31 00:00:00","2025-10-02 12:16:42","Normal","55200000","454761830007","ACTIVE","0","2025-08-18 15:30:17","","B (Services)+G + 5 Res. Floor + Retail","Me'Aisem First","Dubai Development Authority (DDA)","0","0","0","75",""
"4057","Helvetia Verde","1619","D H G PROPERTY DEVELOPMENT L.L.C","2026-01-01 00:00:00","2027-11-30 00:00:00","2025-10-10 13:33:48","Normal","63400000","29409887","ACTIVE","0","2025-08-26 16:07:17","","G+2P+17+R w/ retail at ground","Bukadra","Dubai Municipality","0","0","0","109",""
"4061","Floarea Breeze","1542","MASHRIQ ELITE REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2028-06-30 00:00:00","2025-11-25 15:23:07","Normal","32500000","13613635820004","ACTIVE","0","2025-08-27 20:22:15","","Residential Building (G+6+Roof)","Palm Deira","Trakhees","0","0","0","52",""
"4064","DAMAC DISTRICT","954","DAMAC CRESCENT PROPERTIES","2026-02-14 00:00:00","2029-03-30 00:00:00","2025-09-03 13:00:36","Normal","367556140","019000091174","ACTIVE","0.12","2026-02-18 14:36:44","","Project consists of 3 towers; Tower A: G+2P+26+R - residential building, Tower B:
G+2P+29+R- residential building and Tower C: G+2P+10+R commercial located in Al
Hebiah Third, Plot no. 6768567, Damac Hills, Dubai, United Arab Emirates. The building is
designed to have a concrete structure and block with internal and external finishes.","Al Hebiah Third","Dubai Development Authority (DDA)","0","0","0","1066",""
"4066","Avida Residences","2139","SERENE MARINA REAL ESTATE DEVELOPMENT L.L.C","2026-01-02 00:00:00","2027-12-01 00:00:00","2025-09-11 09:57:55","Normal","35000000","1010016150","ACTIVE","0.02","2026-01-02 13:42:48","","G+P+6","Palm Deira","Trakhees","0","0","0","50",""
"4067","Grand Polo - Chevalia Estate 2","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-02-16 00:00:00","2029-06-30 00:00:00","2025-09-10 15:04:50","Normal","460598646","001640196282001","ACTIVE","0.55","2026-03-04 14:11:15","","Residential development consisting of 124 villas (G+2)
","Dubai Investment Park Second","Dubai Municipality","0","0","124","0",""
"4071","Wedyan","2054","WEDYAN AL GHURAIR REAL ESTATE DEVELOPMENT L.L.C","2026-03-15 00:00:00","2029-09-15 00:00:00","2025-09-22 14:01:56","Normal","920000000","019000089390","ACTIVE","0","2025-09-01 17:51:08","","Residential and Commercial Building (3B + G + 46 Floors + R)","Business Bay","Dubai Development Authority (DDA)","0","0","0","164",""
"4073","Bond Living","1905","PEARLSHIRE DIRC REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-09-30 00:00:00","2025-11-17 18:11:08","Normal","37600000","13574882920003","ACTIVE","0","2025-09-04 16:18:05","","Basement + Ground + 11 Residential Floors + Roof","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","94",""
"4076","Azizi Wares","1002","AZIZI DEVELOPMENTS L.L.C","2026-03-04 00:00:00","2028-03-04 00:00:00","","Normal","87053200","011177627018","PENDING","0","2025-09-03 17:00:18","","PROPOSED G+3P+6+R RESIDENTIAL/ COMMERCIAL BUILDING","Jabal Ali Industrial Second","","0","0","0","336",""
"4081","Breez by Danube","1009","DANUBE PROPERTIES DEVELOPMENT L.L.C","2026-01-01 00:00:00","2029-06-30 00:00:00","2025-09-18 10:41:41","Normal","510000000","4031221746692063","ACTIVE","0","2025-09-08 20:29:35","","Residential Building with Retails at Ground floor (1B+G+8P+1st Floor (Amenities)+46 Residential Floors + 2 Partial Mech. & Residential Floors + Roof","Madinat Dubai Almelaheyah","Trakhees","0","0","0","1200",""
"4085","Waada - Altura 2","2254","BT PROPERTIES DWC LLC","2026-03-15 00:00:00","2029-03-14 00:00:00","2025-10-10 13:43:33","Normal","150129399","012648006274","ACTIVE","0","2025-09-22 16:32:16","","B+G+2P+28","Madinat Al Mataar","Dubai South","0","0","0","365",""
"4089","Solaya (1,2,3)","1824","LA MER NORTH PROPERTY CO. L.L.C","2026-01-30 00:00:00","2029-06-30 00:00:00","2025-09-24 14:24:31","Normal","636666894","1010028254","ACTIVE","0","2025-09-11 09:55:47","","-	3 Residential Buildings comprising of 67 Residential units (2BHK=14, 3BHK=22, 4BHK=24, 5BHK=4, PH=3)
-	Solaya 1 : B+G+6+R (18# -Resi. Units).
-	Solaya 2 : B+G+7+R (22# - Resi. Units).
-	Solaya 3 : B+G+8+R (27# - Resi. Units).","Jumeirah First","Dubai Development Authority (DDA)","0","0","0","67",""
"4093","241 Waterside","2390","LEGACY STAR REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 00:00:00","2028-06-15 00:00:00","2025-11-11 12:48:27","Normal","42000000","0205935550405","ACTIVE","0","2025-10-30 16:10:32","","Residential Building(G+2P+8 Floors Roof) + Entertainment area @ Podium 2F + Swimming Pool @ Roof","Palm Deira","Trakhees","0","0","0","63",""
"4096","Azizi David","1002","AZIZI DEVELOPMENTS L.L.C","2026-02-03 00:00:00","2028-09-30 00:00:00","2026-02-24 11:48:32","Normal","65141200","011176843014","ACTIVE","2","2026-03-17 17:04:35","","PROPOSED RESIDENTIAL BUILDING 3B+G+4P+15+R ","Al Jadaf","Dubai Development Authority (DDA)","0","0","0","256",""
"4099","Jasmine Residence","2279","DAR COMFORT REAL ESTATE L.L.C","2026-02-15 00:00:00","2027-12-31 00:00:00","","Normal","38000000","","PENDING","0","2026-01-28 12:47:10","","Residential building (b+g+4 Floor + Roof ) with retail @GF + Swimming Pool @ first Floor)","Al Barsha South Fifth","","1","0","0","0",""
"4111","Sakura Gardens ","1669","HRE REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2029-06-30 00:00:00","2025-10-01 13:48:38","Normal","850000000","0012157179023","ACTIVE","0","2025-09-19 16:32:17","","Residential Building (B+G+9 floor + Retail in Ground Floor )","Wadi Al Safa 2","Dubai Development Authority (DDA)","0","0","0","1429",""
"4118","Crystal Tower","2337","V H S REAL ESTATE DEVELOPMENTS L.L.C","2026-01-01 00:00:00","2028-12-01 00:00:00","2025-12-24 09:53:47","Normal","34500000","0800008852002","ACTIVE","0","2025-10-15 18:12:41","","Commercial & Residential Building (G+2P+7F+R)","Al Warsan First","Dubai Development Authority (DDA)","0","0","0","110",""
"4131","Derby Heights","2288","A M I S SIGNATURE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2027-10-31 00:00:00","2025-10-13 11:32:42","Normal","20221250","200884084","ACTIVE","0","2025-09-29 15:58:09","","B+G+4+R","Wadi Al Safa 3","Dubai Municipality","0","0","0","50",""
"4134","The Residences at the Dubai Beach Edition","2503","ED RESIDENCES L.L.C","2026-02-28 00:00:00","2029-11-30 00:00:00","2025-12-12 09:33:48","Normal","500000000","0205895005202","ACTIVE","0","2025-10-03 16:49:34","","Residential Buildings - 4 Buildings with common basement ( Tower A,B,C&D ) and retail ; B+G+P+9+R ( 165 Residential Unit )","Marsa Dubai","Dubai Development Authority (DDA)","0","0","0","169",""
"4138","Nionis Residences - Interiors by Karl Lagerfeld Maison","1972","VAAM REAL ESTATE L.L.C","2026-02-24 00:00:00","2029-02-01 00:00:00","","Normal","37542582","","PENDING","","","","Residential Building (UG/G +1 Podium + 6 Floors + Roof ) With Swimming Pool @ Roof","Palm Deira","","1","0","0","0",""
"4141","Azizi Lina","1002","AZIZI DEVELOPMENTS L.L.C","2026-02-03 00:00:00","2028-09-30 00:00:00","","Normal","52698200","011178617018","PENDING","2","2026-03-17 17:15:53","","RESIDENTIAL/ RETAIL BUILDING 4B+G+3P+8+RF","Jabal Ali Industrial Second","","0","0","0","242",""
"4142","DIVINE ELEMENTS ","1520","TAKMEEL REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2027-12-31 00:00:00","2025-11-06 15:19:40","Normal","20000000","200892061","ACTIVE","0","2025-10-15 15:19:29","","G+04 Residential Building ","Madinat Al Mataar","Dubai South","0","0","0","90",""
"4146","PEACE AVENUE BY PEACE HOMES","1745","PEACE HOMES DEVELOPMENT L.L.C","2026-01-01 00:00:00","2029-01-31 00:00:00","2026-01-13 12:50:19","Normal","57236989","01434279269","ACTIVE","0","2025-10-08 18:49:42","","Residential and commercial building 2B + G + 3 POD + 14 Floor + Roof","Jabal Ali Industrial Second","Trakhees","0","0","0","266",""
"4147","SKY HARMONY BY PEACE HOMES","2387","PEACE HOMES INTERNATIONAL DEVELOPMENT L.L.C","2026-01-20 00:00:00","2029-01-20 00:00:00","2026-02-12 15:44:06","Normal","36332424","14355169920004","ACTIVE","0","2025-10-08 18:34:59","","G + 4P + 12 Residential Building","Al Barsha South Fourth","","0","0","0","197",""
"4156","Palm Central Private Residences - Frond M","104","THE PALM - JEBEL ALI CO. (L.L.C)","2026-01-02 00:00:00","2029-07-31 00:00:00","2025-10-27 11:17:17","Normal","489385000","4031226981289002","ACTIVE","0","2025-10-16 13:37:10","","Residential Buildings comprising of 212 Residential units (1BHK=72, 2BHK=72, 3BHK=48, 4BHK=8, 4BR TH = 8, 5BHK=2, PH=2) as follows :

-	Building A : B+G+6+R
(72 Residential Units).

-	Building B: B+G+6+R
(72 Residential Units).

-	Building C: G+6+R
(68 Residential Units).
","Palm Jabal Ali","Trakhees","0","0","0","212",""
"4157","Helvetia Marine","1619","D H G PROPERTY DEVELOPMENT L.L.C","2026-01-23 00:00:00","2028-03-15 00:00:00","2025-11-26 13:26:04","Normal","37200000","29436525","ACTIVE","0","2025-10-14 10:57:17","","G+2P+8 Residential ","Palm Deira","","0","0","0","63",""
"4162","Grand Polo - Equiterra 2","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-02-09 00:00:00","2029-07-31 00:00:00","2025-10-30 15:24:18","Normal","407037034","001640218948401","ACTIVE","0","2025-10-17 15:22:47","","Residential development consisting of 384 townhouse units (G+1)","Dubai Investment Park Second","Dubai Municipality","0","0","384","0",""
"4166","Shahrukhz by Danube","1009","DANUBE PROPERTIES DEVELOPMENT L.L.C","2026-01-01 00:00:00","2029-06-30 00:00:00","2025-11-11 11:54:13","Normal","350000000","4031221746692066","ACTIVE","0","2025-10-17 16:48:44","","Mixed Use Building on Plot No. 3720560 at Al Safouh First, Dubai","Al Safouh First","","0","0","0","917",""
"4168","VIVIDA Residences","2372","N A M O REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2027-09-30 00:00:00","2026-03-26 13:12:54","Normal","25000000","3538514517303","PENDING","","","","G+4+R Residential Building","Madinat Al Mataar","Dubai South","0","0","0","66",""
"4174","Le Blanc Residence by Imtiaz","2275","IMTIAZ COVE REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 00:00:00","2028-10-15 00:00:00","2025-12-15 12:11:05","Normal","115101572","011184071016","ACTIVE","0","2025-10-21 14:38:57","","B+G+3P+17+R - Residential Building","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","323",""
"4175","Vista by Vision","1806","CLEAR VISION REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2027-09-01 00:00:00","2025-11-18 16:18:01","Normal","75000000","80260600000078","ACTIVE","0","2025-10-22 17:30:15","","B+G+14+R Residential Building ","Me'Aisem First","Dubai Development Authority (DDA)","0","0","0","328",""
"4176","368 Park Ln","1062","TABEER REAL ESTATE DEVELOPMENT L.L.C","2026-02-28 00:00:00","2028-08-31 00:00:00","2026-01-13 11:51:38","Normal","60000000","1011226170006005","ACTIVE","0","2025-11-04 13:46:02","","UG+1B+G+4P+14+R Residential building","Al Barsha South Fourth","Trakhees","0","0","0","213",""
"4177","THE EDIT at d3","1510","DHRE 2 BTS L.L.C","2026-01-10 00:00:00","2030-01-31 00:00:00","2025-11-06 13:02:01","Normal","900000000","29427113","ACTIVE","0","2025-10-27 14:39:48","","Residential project consists of Three Residential Towers:  
	Tower-A 3B+G+30, 182 units. 
	Tower-B 3B+G+37, 177 units.
	Tower-C 3B+G+33, 198 units.
	Total (557) Residential Units.
Including the following:
o	1-bedroom apartments.
o	2-bedroom apartments.
o	3- bedroom apartments.
o	4- bedroom apartments.
o	5- bedroom Penthouses.","Zaabeel Second","Dubai Development Authority (DDA)","0","0","0","557",""
"4178","Coventry 2","2224","G F S REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-12-01 00:00:00","","Normal","102000000","19543516","PENDING","0","2025-11-11 12:11:12","","Residential Building ( 2B+G+3P+15+R) with Retails@ GF","Warsan Fourth","","0","0","0","372",""
"4180","Route 66","2411","DEERFIELDS REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-01-20 00:00:00","2027-12-12 00:00:00","2026-01-14 15:33:04","Normal","11000000","19564270","ACTIVE","0","2025-11-03 10:26:08","","G+4+R","Saih Shuaib 1","Dubai Development Authority (DDA)","0","0","0","24",""
"4185","Grand Polo - Equiterra ","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-03-09 00:00:00","2029-08-31 00:00:00","2025-11-04 12:31:29","Normal","629557055","3538215410321","ACTIVE","0","2025-10-28 11:40:23","","Residential development consisting of 37 villas (G+2) and 510 townhouse units (G+1)
","Dubai Investment Park Second","Dubai Municipality","0","0","547","0",""
"4190","Prestige One Residences","2257","PRESTIGE LUXE REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2029-12-31 00:00:00","2025-11-19 08:46:02","Normal","170000000","0405920610407","ACTIVE","0","2025-10-29 19:26:56","","G+4P+35+Roof","Madinat Dubai Almelaheyah","Trakhees","0","0","0","220",""
"4195","LIA","1511","AVENEW REAL ESTATE DEVELOPMENT L.L.C","2026-03-20 00:00:00","2028-05-20 00:00:00","2025-11-27 09:27:11","Normal","70000000","001582223588301","ACTIVE","0","2025-10-31 12:34:12","","Residential Residential LIA comprising of 81 
Residential units (1BHK=36, 2BHK=37, 3BHK=6, 
Penthouse Simplex 3BHK=1,Penthouse Simplex 2BHK=1) and 1 retail unit. 
Duplex 3BHK=4 and Penthouse Duplex 4BHK=1)","Palm Deira","Trakhees","0","0","0","82",""
"4196","SUNVALE","2308","PRYSM REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2028-05-31 00:00:00","2025-11-28 10:00:56","Normal","46954728","019500000868","ACTIVE","0","2025-11-07 11:02:03","","B2+GF+2P+14F+RF","Jabal Ali First","Trakhees","0","0","0","94",""
"4197","PARKGREEN RESIDENCES BY ALISHAAN","2297","ALISHAAN DEVELOPMENTS L.L.C","2026-01-01 00:00:00","2028-06-30 00:00:00","2025-11-27 08:34:47","Normal","45000000","0012505172002","ACTIVE","0","2025-11-10 14:37:25","","G+9+ RESIDENTIAL BUILDING","Wadi Al Safa 2","Dubai Development Authority (DDA)","0","0","0","116",""
"4202","Soel","2177","LIVING QUALITY PROPERTIES L.L.C","2026-01-01 00:00:00","2029-05-01 00:00:00","","Normal","250000000","019000088483","PENDING","0","2025-11-06 11:43:10","","Ground + 6 Podium + 30 Floor + Roof","Al Barshaa South Third","","0","0","0","841",""
"4205","Blossom 40","1812","TRANQUIL INFRA DEVELOPERS L.L.C","2026-02-01 00:00:00","2028-03-31 00:00:00","2025-12-16 11:38:50","Normal","35200000","001582225481701","ACTIVE","0","2025-11-04 17:59:10","","B+G+9 TYP+R Residential Building","Wadi Al Safa 3","Dubai Development Authority (DDA)","0","0","0","66",""
"4209","The Oasis - Palmiera Collective","555","EMAAR PROPERTIES (P.J.S.C)","2026-01-03 00:00:00","2029-02-28 00:00:00","2025-11-18 19:01:49","Normal","200840640","3537653378605","ACTIVE","0","2025-11-05 17:02:26","","Residential development consisting of 38 villas (B+G+2)
","Me'Aisem Second","Dubai Municipality","0","0","38","0",""
"4212","ELARIS AXIS","1579","OBJECT ONE REAL ESTATE DEVELOPMENT L.L.C","2026-01-10 00:00:00","2028-11-30 00:00:00","","Normal","64550000","","PENDING","0","2025-11-07 16:02:30","","B+G+5P+11 Offices+7+R","Al Barsha South Fifth","","0","0","0","171",""
"4218","Lincoln Star Residence III","2486","LINCOLN PARK REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2028-07-31 00:00:00","","Normal","21000000","1002414010000003","PENDING","0","2025-11-07 11:02:13","","This project consists of (UG+G+6+ROOF) Residential Building Ground Floor+6 Residential floors +Lower & Upper roofs. There are 76 Of apartments including 19 Nos. of Studio apartments, 18 Nos of 1-bedroom apartments, 39 Nos of 2-bedroom apartments, and there is a facility such as gymnasium and swimming pool with landscaped area for residents provided on the Roof top level. There are 74 Nos. of car parking facilities available for residents and for visitors as per regulations.","Madinat Al Mataar","","0","0","0","76",""
"4219","The Valley - Ovelle","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-02-13 00:00:00","2029-12-31 00:00:00","2025-11-18 18:46:41","Normal","370289914","9009221997653054","ACTIVE","0","2025-11-10 10:29:52","","Residential development consisting of 133 villas (G+2)
","Al Yufrah 1","Dubai Development Authority (DDA)","0","0","133","0",""
"4220","The Valley - Avelia","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-03-16 00:00:00","2029-12-31 00:00:00","2025-11-18 18:48:51","Normal","394816194","9009221997653057","ACTIVE","0","2025-11-10 10:33:48","","Residential development consisting of 139 villas (G+2)
","Al Yufrah 1","Dubai Development Authority (DDA)","0","0","139","0",""
"4221","BARARIGATE by ADE","1551","A D E PROPERTIES L.L.C","2026-01-13 00:00:00","2028-12-31 00:00:00","2026-01-05 13:23:25","Normal","155000000","0205867429702","ACTIVE","0","2025-11-07 12:15:20","","Bararigate by ADE is a contemporary building located in Majan, featuring G+P+10F+R of Residential spaces offering a diverse range of living options including Studios, 1BHK, 2 BHK & 3 BHK residences, as well as retail shops at Ground Floor.","Wadi Al Safa 3","Dubai Development Authority (DDA)","0","0","0","282",""
